Tên món,Nguyên liệu,Công thức,Tiểu đường,Huyết áp cao,Dạ dày,Gout,Time,Calo 
Canh cua rau mồng tơi,"rau mồng tơi, mướp, cua, gia vị",https://cookpad.com/vn/cong-thuc/16736077-canh-cua-rau-m%E1%BB%93ng-t%C6%A1i?ref=search&search_term=rau+m%E1%BB%93ng+t%C6%A1i,0,0,0,1,30 phút,70
Rau mồng tơi nấu tôm,"rau mồng tơi, mắm, tôm",https://cookpad.com/vn/cong-thuc/23924555-rau-m%E1%BB%93ng-t%C6%A1i-n%E1%BA%A5u-tom?ref=search&search_term=rau+m%E1%BB%93ng+t%C6%A1i,0,0,0,1,20 phút,60
Canh rau mùng tơi,"rau mồng tơi, gia vị, mắm",https://cookpad.com/vn/cong-thuc/23904024-canh-rau-mung-t%C6%A1i?ref=search&search_term=rau+m%E1%BB%93ng+t%C6%A1i,0,0,0,0,10 phút,30
Canh mùng tơi nấu thịt xay,"rau mồng tơi, lợn, bò, gia vị",https://cookpad.com/vn/cong-thuc/17000743-canh-mung-t%C6%A1i-n%E1%BA%A5u-th%E1%BB%8Bt-xay?ref=search&search_term=rau+m%E1%BB%93ng+t%C6%A1i,0,0,0,1,15 phút,80
Mồng tơi nấu mướp,"rau mồng tơi, mướp",https://cookpad.com/vn/cong-thuc/16454516-canh-m%C6%B0%E1%BB%9Bp-m%E1%BB%93ng-t%C6%A1i?ref=search&search_term=rau+m%E1%BB%93ng+t%C6%A1i,0,0,0,0,20 phút,40
Tép đồng xào su hào,"su hào, tép, cà chua, hành, rau răm, gia vị",https://cookpad.com/vn/cong-thuc/17277752-tep-d%E1%BB%93ng-xao-su-hao?ref=search&search_term=su+h%C3%A0o,1,1,1,1,15 phút,100
Canh Lá Su Hào Thịt Băm Viên,"su hào, lợn, bò, mắm, gia vị, hành",https://cookpad.com/vn/cong-thuc/23957298-canh-la-su-hao-th%E1%BB%8Bt-bam-vien?ref=search&search_term=su+h%C3%A0o,0,0,0,1,15 phút,80
Cà Rốt Xào Su Hào Thịt Bằm,"su hào, lợn, mắm, gia vị, hành, dầu hào, cà rốt",https://cookpad.com/vn/cong-thuc/23952960-ca-r%E1%BB%91t-xao-su-hao-th%E1%BB%8Bt-b%E1%BA%B1m?ref=search&search_term=su+h%C3%A0o,0,1,1,1,20 phút,90
Su hào xào thịt ba rọi tóp mỡ,"su hào, lợn, tỏi, hành, gia vị",https://cookpad.com/vn/cong-thuc/22544639-su-hao-xao-th%E1%BB%8Bt-ba-r%E1%BB%8Di-top-m%E1%BB%A1?ref=search&search_term=su+h%C3%A0o,1,1,1,1,25 phút,150
Su hào xào thịt lợn,"su hào, hành, dầu hào, lợn",https://cookpad.com/vn/cong-thuc/22545436-su-hao-xao-th%E1%BB%8Bt-lợn?ref=search&search_term=su+h%C3%A0o,1,1,1,1,30 phút,120
Su hào xào cần tỏi,"su hào, cần, tỏi, hành, gia vị",https://cookpad.com/vn/cong-thuc/17163036-su-hao-xao-c%E1%BA%A7n-t%E1%BB%8Fi?ref=search&search_term=su+h%C3%A0o,0,1,0,0,30 phút,80
Canh su hào tôm tươi,"su hào, tôm, hành, gia vị",https://cookpad.com/vn/cong-thuc/16907594-canh-su-hao-tom-t%C6%B0%C6%A1i?ref=search&search_term=su+h%C3%A0o,0,0,0,1,15 phút,660
Nộm su hào cà rốt,"su hào, cà rốt, ớt, tỏi , mắm",https://cookpad.com/vn/cong-thuc/16765650-n%E1%BB%99m-su-hao-ca-r%E1%BB%91t?ref=search&search_term=su+h%C3%A0o,0,1,1,0,30 phút,50
Su Hào Luộc Cà Chua,"su hào, cà chua",https://cookpad.com/vn/cong-thuc/16123317-su-hao-lu%E1%BB%99c-ca-chua?ref=search&search_term=su+h%C3%A0o,0,0,0,0,20 phút,30
Su hào kho cà chua,"su hào, cà chua, gia vị",https://cookpad.com/vn/cong-thuc/15779389-su-hao-kho-ca-chua?ref=search&search_term=su+h%C3%A0o,0,0,0,0,20 phút,40
Su hào xào trứng,"su hào, trứng, gia vị",https://cookpad.com/vn/cong-thuc/15776508-su-hao-xao-tr%E1%BB%A9ng?ref=search&search_term=su+h%C3%A0o,0,1,1,0,20 phút,100
Nộm su hào bào sợi,su hào. mắm. tỏi. ớt gia vị. rau thơm,https://cookpad.com/vn/cong-thuc/15374636-n%E1%BB%99m-su-hao-bao-s%E1%BB%A3i?ref=search&search_term=su+h%C3%A0o,0,1,1,0,10 phút,50
